Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
Faculdade Boas Novas de Ciências Teológicas, Sociais e Biotecnológicas;FBNCTSB;AM;SCHOLARLY;;;
Faculdade Brasileira;UNIVIX;ES;SCHOLARLY;;;
Faculdade Brasileira de Ciências Exatas, Humanas e Sociais - Fabrai;FABRAI;MG;SCHOLARLY;;;
Faculdade Brasileira de Ciências Jurídicas;FBCJ;RJ;SCHOLARLY;;;
Faculdade Brasileira de Recursos Humanos;FBRH;SP;SCHOLARLY;;;
Faculdade Brasília de São Paulo;FABRASP;SP;SCHOLARLY;;;
Faculdade Brasília de Tecnologia, Ciências e Educação;FACULDADE BRASÍLIA;DF;SCHOLARLY;;;
Faculdade Camaqüense de Ciências Contábeis e Administrativas;FACCCA;RS;SCHOLARLY;;;
Faculdade Câmara Cascudo;FCC;RN;SCHOLARLY;;;
Faculdade Cambury;CAMBURY;GO;SCHOLARLY;;;
Faculdade Cambury de Formosa;CAMBURY;GO;SCHOLARLY;;;
Faculdade Campo Limpo Paulista;FACCAMP;SP;SCHOLARLY;;;
Faculdade Campos Elíseos;FCE;SP;SCHOLARLY;;;
Faculdade Candido Mendes de Vitória;FCMV;ES;SCHOLARLY;;;
Faculdade Capivari;FUCAP;SC;SCHOLARLY;;;
Faculdade Capixaba de Administração e Educação;UNICES;ES;SCHOLARLY;;;
Faculdade Capixaba de Nova Venécia;UNIVEN;ES;SCHOLARLY;;;
Faculdade Carlos Drummond de Andrade;FCDA;SP;SCHOLARLY;;;
Faculdade Casa Branca;FACAB;SP;SCHOLARLY;;;
Faculdade Casa do Estudante;FACE;ES;SCHOLARLY;;;
Faculdade Casa do Fera Ponta Negra;FAC CDF PONTA NEGRA;RN;SCHOLARLY;;;
Faculdade Cásper Líbero;FCL;SP;SCHOLARLY;;;
Faculdade Castelo Branco;FICAB;ES;SCHOLARLY;;;
Faculdade Castro Alves;FCA;BA;SCHOLARLY;;;
Faculdade Católica de Anápolis;Católica de Anápolis;GO;SCHOLARLY;;;
Faculdade Católica de Ciências Econômicas da Bahia;FACCEBA;BA;SCHOLARLY;;;
Faculdade Católica de Uberlândia;CATÓLICA;MG;SCHOLARLY;;;
Faculdade Católica do Ceará;FCC;CE;SCHOLARLY;;;
Faculdade Católica do Tocantins;FACTO;TO;SCHOLARLY;;;
Faculdade Católica Dom Aquino de Cuiabá;FAC;MT;SCHOLARLY;;;
Faculdade Católica Dom Orione;FACDO;TO;SCHOLARLY;;;
Faculdade Católica Nossa Senhora das Neves;FCNSN;RN;SCHOLARLY;;;
Faculdade Católica Nossa Senhora das Vitórias;FCNSV;RN;SCHOLARLY;;;
Faculdade Católica Rainha da Paz de Araputanga;FCARP;MT;SCHOLARLY;;;
Faculdade Católica Santa Teresinha;FCST;RN;SCHOLARLY;;;
Faculdade CBES;CBES;PR;SCHOLARLY;;;
Faculdade CCAA;FAC CCAA;RJ;SCHOLARLY;;;
Faculdade Cearense;FC;CE;SCHOLARLY;;;
Faculdade Cearense;FaC;CE;SCHOLARLY;;;
Faculdade Cecap do Lago Norte;CECAP;DF;SCHOLARLY;;;
Faculdade Cenecista de Bento Gonçalves;FACEBG;RS;SCHOLARLY;;;
Faculdade Cenecista de Brasília;FACEB;DF;SCHOLARLY;;;
Faculdade Cenecista de Campo Largo;FACECLA;PR;SCHOLARLY;;;
Faculdade Cenecista de Capivari;FACECAP;SP;SCHOLARLY;;;
Faculdade Cenecista de Itaboraí;FACNEC;RJ;SCHOLARLY;;;
Faculdade Cenecista de Joinville - Face;FCJ;SC;SCHOLARLY;;;
Faculdade Cenecista de Nova Petrópolis;FACENP;RS;SCHOLARLY;;;
Faculdade Cenecista de Osório;FACOS;RS;SCHOLARLY;;;
Faculdade Cenecista de Rondonópolis;FACER;MT;SCHOLARLY;;;
Faculdade Cenecista de Sete Lagoas;FCSL;MG;SCHOLARLY;;;
Faculdade Cenecista de Sinop;FACENOP;MT;SCHOLARLY;;;
Faculdade Cenecista de Varginha;FACECA;MG;SCHOLARLY;;;
